Word,Frequency,Frequency (%)
the,71,3.94444
csv,69,3.83333
a,50,2.77778
to,46,2.55556
data,45,2.5
and,43,2.38889
of,40,2.22222
in,33,1.83333
as,26,1.44444
is,23,1.27778
for,23,1.27778
format,19,1.05556
or,18,1
with,17,0.944444
that,17,0.944444
be,15,0.833333
file,15,0.833333
by,13,0.722222
files,12,0.666667
are,12,0.666667
text,12,0.666667
double,11,0.611111
comma,11,0.611111
fields,11,0.611111
such,10,0.555556
may,10,0.555556
character,9,0.5
used,9,0.5
not,9,0.5
formats,9,0.5
field,9,0.5
separated,9,0.5
commas,8,0.444444
can,8,0.444444
an,8,0.444444
programs,8,0.444444
values,8,0.444444
from,8,0.444444
1,8,0.444444
spreadsheet,7,0.388889
more,7,0.388889
applications,7,0.388889
record,7,0.388889
which,7,0.388889
rfc,7,0.388889
characters,6,0.333333
example,6,0.333333
one,6,0.333333
quote,6,0.333333
support,6,0.333333
each,6,0.333333
was,6,0.333333
database,6,0.333333
line,6,0.333333
its,6,0.333333
type,6,0.333333
use,6,0.333333
on,5,0.277778
same,5,0.277778
excel,5,0.277778
between,5,0.277778
if,5,0.277778
quotes,5,0.277778
so,5,0.277778
using,5,0.277778
any,5,0.277778
other,5,0.277778
contain,5,0.277778
standard,5,0.277778
they,5,0.277778
common,5,0.277778
4180,5,0.277778
tabular,5,0.277778
rows,4,0.222222
into,4,0.222222
based,4,0.222222
000,4,0.222222
export,4,0.222222
number,4,0.222222
most,4,0.222222
records,4,0.222222
different,4,0.222222
list,4,0.222222
include,4,0.222222
optional,4,0.222222
well,4,0.222222
supported,4,0.222222
utf,4,0.222222
uses,4,0.222222
widely,4,0.222222
8,4,0.222222
set,4,0.222222
w3c,4,0.222222
mime,3,0.166667
header,3,0.166667
have,3,0.166667
than,3,0.166667
has,3,0.166667
newlines,3,0.166667
term,3,0.166667
group,3,0.166667
numbers,3,0.166667
offer,3,0.166667
table,3,0.166667
directed,3,0.166667
column,3,0.166667
implementations,3,0.166667
initiative,3,0.166667
input,3,0.166667
information,3,0.166667
databases,3,0.166667
value,3,0.166667
internal,3,0.166667
various,3,0.166667
it,3,0.166667
microsoft,3,0.166667
less,3,0.166667
libreoffice,3,0.166667
2005,3,0.166667
human,3,0.166667
main,3,0.166667
all,3,0.166667
metadata,3,0.166667
plain,3,0.166667
should,3,0.166667
calc,3,0.166667
quoted,3,0.166667
work,3,0.166667
some,3,0.166667
recommendations,3,0.166667
will,3,0.166667
proprietary,3,0.166667
separator,3,0.166667
first,3,0.166667
also,3,0.166667
row,3,0.166667
separate,3,0.166667
were,3,0.166667
when,3,0.166667
working,3,0.166667
relational,3,0.166667
documents,3,0.166667
exchange,2,0.111111
048,2,0.111111
including,2,0.111111
home,2,0.111111
importing,2,0.111111
enhance,2,0.111111
importer,2,0.111111
rules,2,0.111111
exporting,2,0.111111
fdw,2,0.111111
features,2,0.111111
however,2,0.111111
frictionless,2,0.111111
word,2,0.111111
within,2,0.111111
wikipedia,2,0.111111
where,2,0.111111
handling,2,0.111111
foreign,2,0.111111
